Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
dsd-rsn,0,200,7736,725,122,3.712711864406783,0.1425294015879068,7.222330808639526
dsd-rsn,1,200,7427,416,60,5.1576923076923125,0.1418536621819874,4.937458515167236
dsd-rsn,2,200,7303,292,24,8.071041666666671,0.2400304731545663,4.693559646606445
dsd-rsn,3,200,7068,57,7,7.833333333333331,0.1972157106018061,4.680014848709106
dsd-rsn,4,200,7121,110,14,8.300869565217393,0.1999175208028288,5.141745090484619
dsd-rsn,5,200,7096,85,11,7.8064705882352925,0.1889797569556333,5.282323360443115
dsd-rsn,6,200,7259,248,36,6.3583636363636415,0.1867955750326905,5.342505931854248
dsd-rsn,7,200,7800,789,127,11.648909952606616,0.3141907008768842,8.262573242
dsd-rsn,8,200,8252,1241,255,8.669274376417288,0.2493163501930961,25.36449098587036
dsd-rsn,9,200,8474,1463,379,7.227090032154404,0.218184004,46.59521555900574
dsd-rsn,10,200,9071,2060,1702,9.312986425339242,0.2704842302288349,481.08501291275024
dsd-rsn,11,200,9232,2221,2303,19.380301094890616,0.4739428338344031,10128.204613924026
dsd-rsn,12,200,9140,2129,752,13.728129818593928,0.3983616067300361,1681.5255014896393
dsd-rsn,13,200,8870,1859,692,11.376910786698833,0.3638447707179941,441.3265137672424
dsd-rsn,14,200,8542,1531,461,11.067407407407384,0.3005239306611029,99.59399080276488
dsd-rsn,15,200,8559,1548,404,6.808693333333415,0.2050954451800808,65.54175305366516
dsd-rsn,16,200,8508,1497,472,7.031990349819153,0.2153932973084422,78.55989432
dsd-rsn,17,200,8710,1699,581,10.56854166666652,0.3020375075399238,186.47099208831787
dsd-rsn,18,200,8771,1760,573,7.984106324473024,0.2431811906476517,199.13901019096372
dsd-rsn,19,200,8631,1620,438,6.909628297362196,0.2026724218672977,96.33000398
dsd-rsn,20,200,8444,1433,323,7.055891341,0.2088874397421068,40.08369493484497
dsd-rsn,21,200,8082,1071,193,8.601440677966131,0.2589926814679854,14.060847520828249
dsd-rsn,22,200,7832,821,134,8.636864406779633,0.255250183,8.716340065002441
dsd-rsn,23,200,7474,463,70,7.539999999999988,0.2288360476832255,5.7316200733184814
DeliSense,0,100,7365,354,3,10.02627118644068,1.586126226717289,276.03211545944214
DeliSense,1,100,7357,346,4,20.248615384615377,2.8589015184457667,276.4106185436249
DeliSense,2,100,7393,382,3,12.215208333333337,1.224330750258243,273.8962993621826
DeliSense,3,100,7269,258,8,26.87600000000001,0.9593563333561682,273.44364833831787
DeliSense,4,100,7214,203,0,8.300869565217392,1.1281653882116662,272.11634373664856
DeliSense,5,100,7260,249,7,10.435882352941178,0.4482661937964388,272.55257201194763
DeliSense,6,100,7305,294,1,8.192909090909092,0.9204246973334672,276.4901490211487
DeliSense,7,100,7337,326,2,13.275450236966824,1.748905641451464,285.9265105724335
DeliSense,8,100,7678,667,21,10.564308390022674,1.8713654216145963,373.6346014
DeliSense,9,100,7643,632,18,7.869212219,1.5604787816474122,385.13160014152527
DeliSense,10,100,8839,1828,108,13.92043309631531,0.8561088990810449,2629.7136764526367
DeliSense,11,100,9370,2359,301,20.84869069343114,0.9336504146847256,13116.843432426453
DeliSense,12,100,8892,1881,102,16.091735260770868,1.3856902364702313,3152.377418041229
DeliSense,13,100,7963,952,33,12.208297648012966,3.3229431053534637,661.6150911
DeliSense,14,100,7693,682,14,12.18616487455195,1.968899955589856,457.82914328575134
DeliSense,15,100,7644,633,15,7.387493333333338,1.420485803,376.6424632072449
DeliSense,16,100,7608,597,19,7.797008443908324,1.584353994721355,426.1716845035553
DeliSense,17,100,7819,808,29,11.505588768115931,1.621218724726211,624.2660436630249
DeliSense,18,100,7892,881,31,8.921136571952337,1.3286860205396864,631.6861562728882
DeliSense,19,100,7867,856,26,11.329160671462828,1.3920596200437358,421.8948450088501
DeliSense,20,100,7603,592,13,7.529915110356541,1.3835077738720756,343.2475934028625
DeliSense,21,100,7465,454,5,9.175734463276838,1.5786052105321955,286.1999840736389
DeliSense,22,100,7328,317,4,10.36355932,1.522128333472763,281.5270948410034
DeliSense,23,100,7293,282,1,8.486153846153845,1.0982056643610625,275.6205286979676
dsd-rsn,0,100,7599,588,111,5.632203389830504,0.1727791835739466,5.507289171218872
dsd-rsn,1,100,7366,355,36,15.661384615384588,0.4313022474695834,3.3716588020324707
dsd-rsn,2,100,7285,274,25,10.044166666666674,0.3116511317335643,3.660890817642212
dsd-rsn,3,100,7066,55,7,8.519999999999998,0.232569025,3.607642650604248
dsd-rsn,4,100,7121,110,14,8.300869565217393,0.1999175208028288,3.5801022052764893
dsd-rsn,5,100,7096,85,11,8.265294118,0.2119489446307033,3.678743600845337
dsd-rsn,6,100,7259,248,36,6.789272727272733,0.2071686173020742,3.2028238773345947
dsd-rsn,7,100,7800,789,127,11.779715639810403,0.3196441476075597,4.440827369689941
dsd-rsn,8,100,8252,1241,255,9.249115646258565,0.2688291661648889,16.874375104904175
dsd-rsn,9,100,8474,1463,379,7.292041800643154,0.2205027712309565,35.96414399147034
dsd-rsn,10,100,9071,2060,1807,9.307556561085846,0.2700795667832397,449.8199832439423
dsd-rsn,11,100,9232,2221,2589,19.233768248175284,0.466928001,9996.931671619415
dsd-rsn,12,100,9140,2129,755,14.033005102040658,0.4208523273032217,1596.871521949768
dsd-rsn,13,100,8870,1859,696,11.780965936739449,0.3844136689806478,284.65624809265137
dsd-rsn,14,100,8542,1531,461,11.500860215053722,0.3250375353211308,91.11307764053343
dsd-rsn,15,100,8559,1548,404,6.910826666666749,0.2075052098908892,59.53123593330383
dsd-rsn,16,100,8508,1497,472,7.350928829915652,0.2315174847230542,67.94883680343628
dsd-rsn,17,100,8710,1699,582,11.038740942028838,0.3212494956677226,178.9182994365692
dsd-rsn,18,100,8771,1760,581,8.431952337305253,0.2586235730748181,200.4755344390869
dsd-rsn,19,100,8631,1620,438,7.177709832134381,0.2129524029390498,87.36505365371704
dsd-rsn,20,100,8444,1433,323,7.055721561969492,0.2104307379967951,34.593607902526855
dsd-rsn,21,100,8082,1071,193,8.525451977,0.2568418029141882,10.114483833312988
dsd-rsn,22,100,7832,821,134,8.929661016949128,0.2720672410662341,5.299824953079224
dsd-rsn,23,100,7474,463,70,7.539999999999988,0.2288360476832255,2.9324615001678467
DeliSense,0,200,7531,520,3,10.02627118644068,1.5669604634492529,536.1958496570587
DeliSense,1,200,7519,508,5,20.24861538461538,2.847693020036176,540.1867094039917
DeliSense,2,200,7576,565,3,12.215208333333337,1.2012872429246062,540.3185675144196
DeliSense,3,200,7448,437,8,26.87600000000001,0.9593563333561682,541.9009389877319
DeliSense,4,200,7403,392,0,8.300869565217392,1.1281653882116662,531.3155586719513
DeliSense,5,200,7438,427,7,10.435882352941178,0.450454655,532.8483955860138
DeliSense,6,200,7489,478,1,8.192909091,0.918659636,539.9923651218414
DeliSense,7,200,7519,508,2,13.275450236966824,1.7487447067071955,546.9210364818573
DeliSense,8,200,7835,824,19,10.564308390022674,1.9756854967550292,638.7658829689026
DeliSense,9,200,7842,831,19,7.869212219,1.5185696212592463,645.4109346866608
DeliSense,10,200,8885,1874,100,13.920433096315312,0.8714676038000182,2639.878383398056
DeliSense,11,200,9385,2374,297,20.84869069343109,0.9219770097928722,11128.05447292328
DeliSense,12,200,8955,1944,108,16.09173526077088,1.6033820654247426,2196.4996089935303
DeliSense,13,200,8118,1107,33,12.208297648012955,2.627107573,939.7181589603424
DeliSense,14,200,7804,793,12,12.186164874551958,2.0764138547151467,727.4330909252167
DeliSense,15,200,7736,725,15,7.387493333333341,1.3620552278503293,652.2569249
DeliSense,16,200,7735,724,20,7.797008443908329,1.5875260795014132,685.5263824462891
DeliSense,17,200,7952,941,29,11.505588768115937,1.6641582845676473,896.3278584480286
DeliSense,18,200,8059,1048,32,8.921136571952335,1.3491379006736484,898.1385443210602
DeliSense,19,200,7989,978,26,11.329160671462828,1.4439970863764882,676.2064080238342
DeliSense,20,200,7760,749,13,7.5299151103565425,1.3521528026021692,592.2399631
DeliSense,21,200,7599,588,4,9.175734463276846,1.5511679641342009,727.0199911594391
DeliSense,22,200,7468,457,4,10.36355932,1.4735199279696751,545.2222425937653
DeliSense,23,200,7456,445,1,8.486153846153845,1.0522133886956997,538.6765930652618
fdd-sdp,0,200,7011,0,3,7.521186440677966,1.880165212051888,2.247203826904297
fdd-sdp,1,200,7011,0,1,6.804769230769232,1.5557069233352805,1.464189529418945
fdd-sdp,2,200,7018,7,3,4.327083333333335,1.2502136167366051,0.718867302
fdd-sdp,3,200,7011,0,0,0,,0.4320225715637207
fdd-sdp,4,200,7011,0,0,0,,0.2857272624969482
fdd-sdp,5,200,7011,0,0,0,,0.3150568008422851
fdd-sdp,6,200,7011,0,1,0.8909090909090908,0.6388253968253969,0.8855781555175781
fdd-sdp,7,200,7033,22,2,8.278293838862558,1.5674195444978556,7.043032646179199
fdd-sdp,8,200,7089,78,15,9.781519274,2.0383764459076965,50.77601909637451
fdd-sdp,9,200,7105,94,13,7.331270096463029,1.5882753080870544,82.63332176208496
fdd-sdp,10,200,7243,232,37,13.38319974143494,1.1063173685554033,2320.700778007508
fdd-sdp,11,200,8041,1030,172,20.556765510949266,1.1004694502610064,9789.797246217728
fdd-sdp,12,200,7229,218,48,15.480731859410351,1.6696790346810215,2761.6649293899536
fdd-sdp,13,200,7127,116,19,10.812839416058385,1.8439746992304007,606.6874518
fdd-sdp,14,200,7098,87,5,10.980788530465947,2.069120903349801,239.71233654022217
fdd-sdp,15,200,7085,74,6,5.922960000000002,1.5159229693863878,133.53100657463074
fdd-sdp,16,200,7100,89,17,6.288926417370326,1.6671694919143305,185.07220101356504
fdd-sdp,17,200,7121,110,18,10.47886775362318,1.7176496376906885,439.2001472
fdd-sdp,18,200,7121,110,23,7.962933088909262,1.4794772445929223,418.4916155338288
fdd-sdp,19,200,7146,135,16,6.574484412470026,1.3496643422288142,212.2704234
fdd-sdp,20,200,7097,86,10,5.618692699490659,1.557641979881319,117.23356461524963
fdd-sdp,21,200,7067,56,4,5.105649717514121,1.482964680859877,14.789395570755005
fdd-sdp,22,200,7012,1,1,4.079661016949154,1.8007283036101356,6.737816095352173
fdd-sdp,23,200,7011,0,1,0.4476923076923077,2.606375,1.8823254108428955
bsd-tsm,0,100,7601,590,90,7.538983050847446,0.2885993286055209,5.710161447525024
bsd-tsm,1,100,7405,394,41,11.347076923076918,0.3869136376316336,3.4037373065948486
bsd-tsm,2,100,7304,293,29,10.331875000000004,0.3638256909586959,2.529959917068481
bsd-tsm,3,100,7098,87,13,10.28,0.2908683371619557,2.425525426864624
bsd-tsm,4,100,7135,124,14,8.300869565217393,0.2820386140440591,2.3567917346954346
bsd-tsm,5,100,7110,99,11,8.677058824,0.2358594729006272,2.444219112
bsd-tsm,6,100,7289,278,34,7.876545454545463,0.2715071840859137,2.6999399662017822
bsd-tsm,7,100,7818,807,115,13.275450236966856,0.3968795394996122,5.340391159057617
bsd-tsm,8,100,8293,1282,236,10.56430839002277,0.3288029984722876,24.16059422492981
bsd-tsm,9,100,8502,1491,281,7.869212218649593,0.3362432752044076,50.18930125236511
bsd-tsm,10,100,9114,2103,1032,12.525604395604072,0.3881826241908527,643.0155644416809
bsd-tsm,11,100,9259,2248,961,20.653430656934518,0.5698072271520823,8379.664431095123
bsd-tsm,12,100,9171,2160,663,14.25182596371836,0.386366568,1444.8945016860962
bsd-tsm,13,100,8916,1905,545,12.208297648012614,0.4175429800705852,433.7029256820679
bsd-tsm,14,100,8600,1589,368,12.186164874551734,0.3655640281516269,162.6388418674469
bsd-tsm,15,100,8575,1564,307,7.387493333333416,0.3001238288037851,161.15898060798645
bsd-tsm,16,100,8615,1604,351,7.797008443908407,0.321205901,108.59965348243712
bsd-tsm,17,100,8825,1814,469,11.50558876811563,0.389337684,278.7946038246155
bsd-tsm,18,100,8829,1818,461,8.921136571952255,0.3003172793141452,280.3286323547363
bsd-tsm,19,100,8680,1669,353,11.329160671462713,0.39630199,234.60970735549927
bsd-tsm,20,100,8464,1453,261,7.529915110356616,0.2819040439166433,45.74702572822571
bsd-tsm,21,100,8134,1123,153,9.175734463276887,0.3519391605463426,12.39220380783081
bsd-tsm,22,100,7826,815,118,10.363559322033913,0.3573586128090333,6.364532470703125
bsd-tsm,23,100,7493,482,67,8.486153846153828,0.2900534452600742,3.4315481185913086
fdd-sdp,0,100,7011,0,3,7.832203389830508,1.668967978183583,2.863222122192383
fdd-sdp,1,100,7036,25,1,15.984461538461538,3.582566836726976,1.450717210769653
fdd-sdp,2,100,7036,25,3,7.365000000000001,1.5539097372534871,0.8305869102478027
fdd-sdp,3,100,7011,0,0,4.973333333333333,1.1768487886382624,0.4441580772399902
fdd-sdp,4,100,7011,0,0,0.4478260869565217,2.575,0.2766852378845215
fdd-sdp,5,100,7011,0,0,0,,0.2794656753540039
fdd-sdp,6,100,7039,28,1,2.769090909090908,0.47218153,0.9976708889007568
fdd-sdp,7,100,7045,34,2,11.86218009478673,1.360623323553809,9.42229414
fdd-sdp,8,100,7091,80,15,10.057505668934242,2.022721275950949,64.96618533
fdd-sdp,9,100,7104,93,14,7.473553054662388,1.5864589350517853,76.84725832939148
fdd-sdp,10,100,7245,234,37,13.61668390433088,1.088873662655589,2426.3344373703003
fdd-sdp,11,100,8081,1070,184,20.68906478102228,1.074631143418592,10345.605811357498
fdd-sdp,12,100,7250,239,49,15.74762528344664,2.109948790692984,2480.451822757721
fdd-sdp,13,100,7126,115,20,11.740576642335752,2.088902184197823,519.4373755455017
fdd-sdp,14,100,7100,89,5,11.523679808841104,2.128801082062058,195.1560056209564
fdd-sdp,15,100,7091,80,5,6.671493333,1.4632789153817107,104.57861375808716
fdd-sdp,16,100,7112,101,17,6.954065138721353,1.5939953983683035,140.51083135604858
fdd-sdp,17,100,7125,114,19,10.944990942028976,1.9623605326664568,428.1734807491303
fdd-sdp,18,100,7128,117,23,8.449275893675523,1.4519629107012002,425.2271924
fdd-sdp,19,100,7148,137,16,7.145107913669064,1.3667413470013756,163.47882986068726
fdd-sdp,20,100,7107,96,10,6.458947368421057,1.3893668828535817,54.60700845718384
fdd-sdp,21,100,7064,53,4,7.07319209,1.8421272520920589,13.00192928314209
fdd-sdp,22,100,7036,25,1,6.984322033898303,1.5315761469097342,5.989480734
fdd-sdp,23,100,7029,18,1,4.063076923076924,1.095251865685161,1.435795783996582
bsd-tsm,0,200,7736,725,109,4.368644067796613,0.1877009225254483,6.330735445022583
bsd-tsm,1,200,7451,440,46,10.483999999999993,0.4069909075061997,5.053328990936279
bsd-tsm,2,200,7322,311,30,10.656666666666675,0.3887438546536848,5.525655985
bsd-tsm,3,200,7118,107,19,12.209333333333332,0.4295335939549298,5.128436565
bsd-tsm,4,200,7145,134,13,8.300869565217393,0.2938665083719535,5.173728942871094
bsd-tsm,5,200,7122,111,11,8.677058824,0.3200980628050097,4.820994616
bsd-tsm,6,200,7254,243,33,7.967454545454553,0.287472815,5.677419185638428
bsd-tsm,7,200,7826,815,110,13.275450236966837,0.4330212766103374,9.272786617279053
bsd-tsm,8,200,8292,1281,230,10.55002267573705,0.3496763510143422,35.421281576156616
bsd-tsm,9,200,8504,1493,283,7.869212218649593,0.3267279091908996,69.55292415618896
bsd-tsm,10,200,9117,2106,933,12.541952165481238,0.4476434209935537,738.1925342082977
bsd-tsm,11,200,9260,2249,954,20.42496350364983,0.5508699532488855,8470.524956941605
bsd-tsm,12,200,9171,2160,662,14.209365646258052,0.4591335055919438,1667.702336549759
bsd-tsm,13,200,8916,1905,545,12.208297648012614,0.4175429800705852,406.7506034374237
bsd-tsm,14,200,8600,1589,368,12.186164874551734,0.3655640281516269,141.31009101867676
bsd-tsm,15,200,8575,1564,307,7.387493333333416,0.3001238288037851,90.89289284
bsd-tsm,16,200,8615,1604,351,7.797008443908407,0.321205901,114.46444034576416
bsd-tsm,17,200,8825,1814,469,11.50558876811563,0.389337684,292.9642581939697
bsd-tsm,18,200,8829,1818,461,8.921136571952255,0.3003172793141452,288.44270634651184
bsd-tsm,19,200,8680,1669,353,11.329160671462713,0.39630199,132.82869696617126
bsd-tsm,20,200,8464,1453,261,7.529915110356616,0.2819040439166433,50.95284080505371
bsd-tsm,21,200,8134,1123,153,9.175734463276887,0.3519391605463426,16.16971182823181
bsd-tsm,22,200,7826,815,118,10.363559322033913,0.3573586128090333,9.346293210983276
bsd-tsm,23,200,7493,482,67,8.486153846153828,0.2900534452600742,6.085279941558838